Judul,Tanggal,Jam Upload (WIB)
IRAN NGAMUK‼️ ISRAEL RATA DENGAN TANAH‼️...,2026-04-07,7:15
PULUHAN PASUKAN ELIT AS TEWAS DIBANTAI IRAN...,2026-04-06,20:00
TRUMP GEMETAR! IRAN TERLALU BRUTAL...,2026-04-06,18:30
GEGER! SATU KOTA ISRAEL DITENGGELAMKAN...,2026-04-06,16:15
AS TERKEPUNG! PRANCIS & INGGRIS MEMBELOT...,2026-04-06,13:15
GEGER! PRABOWO DEKLARASIKAN PERANG LAWAN ISRAEL! (Shorts),2026-04-06,10:53
CHAOS! RATUSAN TENTARA ISRAEL BUNDIR MASSAL!...,2026-04-06,7:15
HEBOH! THAILAND MAKIN TERTINGGAL!...,2026-04-05,20:15
GEMPAR! IRGC BASMI RIBUAN TENTARA ISRAEL!...,2026-04-05,18:15
GEMPAR! TRUMP TERJANGKIT PENYAKIT MISTERIUS...,2026-04-05,16:15
GEGER! PRABOWO DEKLARASIKAN PERANG LAWAN ISRAEL!...,2026-04-05,13:15
WARGA IRAN SORAK-SORAI LIHAT JET AS MELEDAK!...,2026-04-05,10:15
ISRAEL MENGGILA! 5 JUTA WARGA BEREBUT BUNKER...,2026-04-05,7:15
"MILITER AS KRISIS, 8 JENDERAL DIPECAT!...",2026-04-04,20:15
ISRAEL-AS DIKUCILKAN! EROPA DIAM-DIAM LOBI IRAN!...,2026-04-04,18:30
BBM INDONESIA NGGAK NGOTAK! WARGA THAILAND & MALAYSIA...,2026-04-04,16:15
JADI GEMBEL DAN DIHANTUI RUDAL IRAN! ISRAEL SENGSARA...,2026-04-04,13:15
3500 PASUKAN TENTARA AS MUSNAH SERENTAK!...,2026-04-04,10:15
400 KILOGRAM BOM LENYAPKAN ISRAEL! TRUMP PANIK...,2026-04-04,7:15
RIBUAN RUDAL IRAN BERJATUHAN‼️ 39 TENTARA AS TEWAS SERENTAK...,2026-04-03,20:15
INDONESIA JADI PENENTU NASIB 1 MILIAR ORANG!...,2026-04-03,18:30
MENKEU PURBAYA JADI SOROTAN MALAYSIA-SINGAPURA!...,2026-04-03,16:15
RATUSAN PASUKAN AS PULANG DALAM PETI MATI!...,2026-04-03,13:15
MALAYSIA MENANGIS! HARGA BBM MENCEKIK...,2026-04-03,10:15
"MAMPUS! 100 TENTARA AS TEWAS, TRUMP MINTA AMPUN!...",2026-04-03,7:15
CHINA-RUSIA BANTU INDONESIA PERANG LAWAN ISRAEL‼️ (Shorts),2026-04-02,20:15
PRABOWO MURKA AKTIFKAN MODE PERANG‼️...,2026-04-02,18:30
PASUKAN CHECNYA TURUN TANGAN‼️...,2026-04-02,16:15
MALAYSIA MALU ‼️ FAKTA TERBONGKAR BANI SARAPAN...,2026-04-02,13:15
TNI BERGUGURAN DISERANG ISRAEL‼️...,2026-04-02,10:15
DEMI INDONESIA & RAKYAT GAZA‼️...,2026-04-02,7:15
"MEMANAS‼️ MALAYSIA PANIK, FILIPINA REBUT SABAH...",2026-04-01,19:45
DUNIA PANIK‼️ HARGA BBM NAIK GILA-GILAAN (Shorts),2026-04-01,19:04
MALAYSIA MENJERIT‼️BBM NAIK GILA-GILAAN...,2026-04-01,16:15
PBB TURUN TANGAN‼️ DUNIA BERSATU BELA INDONESIA...,2026-04-01,13:15
IRAN LEDAKKAN RIBUAN ALUTSISTA AS‼️...,2026-04-01,10:27
MALAYSIA GANTI NAMA MENJADI MALAYDESH⁉️...,2026-04-01,7:15
OPM KOCAR-KACIR‼️ PESAN KERAS BUAT AUSTRALIA...,2026-03-03,20:15
"RI GUNCANG DUNIA, JET TEMPUR KF-21 BORAMAE...",2026-03-03,16:00
MALAYSIA GEMETAR‼️ INDONESIA RESMI BORONG...,2026-03-03,13:15
BANGKRUT‼️ EJEK INDONESIA MISKIN...,2026-03-03,10:15
MALAYSIA KIAMAT‼️ FILIPINA RESMI CAPLOK SABAH...,2026-03-03,7:15
MALAYSIA MELONGO! PRABOWO DISAMBUT 7 PENGUASA...,2026-03-02,20:30
BUKAN MAIN! RI NEKAT TEROBOS PERANG...,2026-03-02,18:15
MALAYSIA MAKIN KURANG AJAR! CURI TIMAH...,2026-03-02,16:00
KULINER INDONESIA JAJAH MASTERCHEF DUNIA!...,2026-03-02,13:15
SYOK RI NEGARA PALING AMAN! AS SERANG IRAN...,2026-03-02,10:15
MALAYSIA RESMI BANGKRUT! RAJA MALAYSIA...,2026-03-02,7:30
MALAYSIA KAGET BESAR! RINGGIT DITOLAK...,2026-03-01,20:30
MALAYSIA BERANI CARI PERKARA! ANCAM PRABOWO...,2026-03-01,19:00
DPR MALAYSIA SYOK BERAT LIHAT IKN...,2026-03-01,17:30
IRAN MAU BOM SAUDI! ARAB MINTA TOLONG...,2026-03-01,13:30
JENDERAL MALAYSIA ANCAM TKI! DUNIA KECAM...,2026-03-01,10:15
DETIK-DETIK MALAYSIA HANCUR? 70 NEGARA HUJAT...,2026-03-01,7:30
"MALAYSIA KLAIM SUKU DAYAK, INILAH 5 SUKU DI INDONESIA...",2026-03-06,18:15
BEDA JAUH DENGAN NEGARA ASALNYA! BULE INI JATUH CINTA...,2026-03-06,15:15
MEMALUKAN! EJEK DAN HINA RUPIAH LEMAH...,2026-03-06,10:15
BUKBER DIPENUHI BANGLADESH! RIBUAN RAKYAT...,2026-03-06,7:15
SERING HINA RI! RAJA MALAYSIA UMUMKAN MALAYSIA BANGKRUT...,2026-03-05,18:15
FILIPINA RESMI CAPLOK SABAH‼️ KARMA CAPLOK... (Shorts),2026-03-05,17:01
MALAYSIA BANGGA BELI RUDAL NSM-NORWEGIA!...,2026-03-05,16:15
20 NEGARA MERINDING! TNI AL KIRIM FREGAT SILUMAN...,2026-03-05,13:15
INDONESIA-TURKI RESMI BERSATU! PT DI UBAH CN235...,2026-03-05,10:15
MALAYSIA DI AMBANG BUBAR? RAKYAT SABAH-SARAWAK...,2026-03-05,7:15
KIBARKAN BENDERA PERANG! RI-MALAYSIA WASPADA...,2026-03-04,21:00
HARGA DIRI BANGSA DIINJAK-INJAK MALAYSIA!...,2026-03-04,18:15
OPM KOCAR-KACIR‼️ PESAN KERAS BUAT AUSTRALIA... (Shorts),2026-03-04,17:00
KARMA AMBALAT NYATA! KINI MALAYSIA MERADANG...,2026-03-04,15:15
"KARMA INSTAN‼️ DULU HINA TKI, SEKARANG WARGA MALAYSIA...",2026-03-09,22:15
MALAYSIA PANIK‼️ INDONESIA BANGKIT DI BORNEO... (Shorts),2026-03-09,19:00
IRAN NGAMUK‼️ LUNCURKAN 700 RUDAL BALISTIK...,2026-03-09,18:15
BAGAIMANA JIKA MALAYSIA NEKAT AJAK PERANG⁉️...,2026-03-09,16:42
AS INCAR URANIUM‼️ TRUMP SIAGAKAN PASUKAN...,2026-03-09,13:15
IRAN MENGAMUK‼️ SITUS NUKLIR DAN JET TEMPUR...,2026-03-09,10:15
TNI SIAGA 1 HADAPI PERANG TIMUR TENGAH!...,2026-03-09,7:15
MALAYSIA PANIK‼️ INDONESIA BANGKIT DI BORNEO...,2026-03-08,22:00
MALAYSIA MULAI GELISAH‼️ IKN 95% JADI... (Shorts),2026-03-08,19:00
GEMPAR! RUSIA KIRIM BANTUAN SENYAP KE IRAN...,2026-03-08,16:15
ISRAEL MELEDAK! RUDAL 1 TON IRAN RATAKAN...,2026-03-08,13:15
ISRAEL TERBAKAR! IRAN LUNCURKAN RUDAL...,2026-03-08,10:15
RUSIA KERAKAN PESAWAT NUKLIR...,2026-03-08,7:15
ISRAEL TERBAKAR! IRAN LUNCURKAN RUDAL... (Re-upload),2026-03-08,4:41
MALAYSIA MULAI GELISAH‼️ IKN 95% JADI...,2026-03-07,21:00
KIBARKAN BENDERA PERANG! RI-MALAYSIA... (Shorts),2026-03-07,19:01
DUNIA GEMETAR! MEDIA AMERIKA BOCORKAN...,2026-03-07,16:15
22 NEGARA SERENTAK DEKLARASIKAN PERANG‼️...,2026-03-07,13:15
TIMOR LESTE IRI LIHAT KEMAJUAN PESAT PAPUA‼️...,2026-03-07,10:15
MALAYSIA KENA KARMA‼️ DULU EJEK INDONESIA MISKIN...,2026-03-07,7:15
MALAYSIA-SINGAPURA PANIK‼️ SAWIT RI RAJAI AMERIKA...,2026-03-10,7:15
BIKIN NGAKAK‼️ MALAYSIA DAFTARKAN BUDAYA SARAPAN PAGI...,2026-03-10,10:15
TERBARU‼️ WOW WAJAH BARU MALAYSIA BERUBAH SEKETIKA...,2026-03-10,13:15
IRAN DENDAM‼️ PASCA AS-ISRAEL BOM KILANG MINYAK IRAN...,2026-03-11,7:15
IRAN GERTAK AS‼️ TRUMP SIAP RATAKAN TEHERAN...,2026-03-11,10:15
AMERIKA KESAL! KEWALAHAN TANGKAL RATUSAN RUDAL...,2026-03-11,13:15
DPR MALAYSIA KISRUH‼️ SABAH SARAWAK INGIN LEPAS...,2026-03-11,16:15
CINDO SURABAYA BIKIN IRI‼️ DI MALAYSIA TAK MAU...,2026-03-11,18:15
MALAYSIA-SINGAPURA LUMPUH‼️ SELAT HORMUZ DITUTUP...,2026-03-12,7:15
MALAYSIA DIKUASAI ASING‼️ DULU HINA TKI‼️...,2026-03-12,10:15
MALAYSIA TERANCAM HANCUR‼️ SABAH-SARAWAH SIAP MERDEKA⁉️...,2026-03-12,13:15
MALAYSIA-SINGAPURA GEMETAR! INDONESIA-JEPANG-AMERIKA...,2026-03-12,18:15
"KARMA INSTAN‼️ DULU HINA TKI, SEKARANG WARGA MALAYSIA... (Shorts)",2026-03-12,19:01
"HEBOH‼️ KECANDUAN PRODUK RI, WARGA MALAYSIA RAMAI-RAMAI...",2026-03-12,20:15
"MALAYSIA TERKEJUT! HINA IQ78, INDONESIA BANGUN PUSAT SAINS...",2026-03-13,7:15
WARGA MEREKA MULAI TINGGALKAN BAHASA SENDIRI...,2026-03-13,10:15
MALAYSIA TERSAINGI! KERETA BUATAN INDONESIA...,2026-03-13,13:15
"MALAYSIA HEBOH! TKI DIUSIR DIHINA, BANGLADESH BANJIRI...",2026-03-13,18:30
"JET AS TERBAKAR‼️ MARKAS IDF RATA, ISRAEL HANCUR LEBUR...",2026-03-14,7:15
HEBOH PULUHAN NEGARA SIAP SERANG INDONESIA...,2026-03-14,10:15
TURIS MALAYSIA DIEJEK SAAT NGOMONG BHS MELAYU...,2026-03-14,13:15
BOM NUKLIR B52 TERPARKIR DI SINGAPURA‼️ PRABOWO WASPADA‼️...,2026-03-14,16:15
KEBOHONGAN ISRAEL TERBONGKAR! MANIPULASI KEMATIAN...,2026-03-14,18:30
"HEBOH‼️ KECANDUAN PRODUK RI, WARGA MALAYSIA... (Shorts)",2026-03-14,19:01
NGAKAK KOCAK❗ NETIZEN MALAYSIA KESAL LAGU RAYA SENDIRI...,2026-03-14,20:15
NETANYAHU RESMI TEWAS? DIKIRA MASIH ADA TERNYATA AI...,2026-03-15,7:15
TITISAN KHAMENEI BANGKIT! KEMUNCULAN MOJTABA...,2026-03-15,10:15
2 NEGARA PALING ANGKUH ASEAN RESMI RUNTUH TOTAL!...,2026-03-15,13:15
🔴 BREAKING NEWS: RUDAL NUKLIR SEJJIL IRAN RATAKAN... (Live),2026-03-15,14:13
JET TEMPUR AS MELEDAK! PELABUHAN TEL AVIV LULUH LANTAK!...,2026-03-15,19:15
AMERIKA DIAMBANG KEHANCURAN! 15 RIBU TENTARA TEWAS...,2026-03-18,20:15
GEGER! TURIS MALAYSIA SYOK LIHAT JAKARTA... (Shorts),2026-03-18,18:30
TRUMP NGEMIS KE RUSIA! PUTIN TOLAK MENTAH-MENTAH...,2026-03-18,17:00
JENDERAL ISRAEL MENYUSUL NETANYAHU... ,2026-03-18,13:15
SINGAPURA MERADANG‼️ PRABOWO KERAHKAN ARMADA...,2026-03-18,10:15
🔴 BREAKING NEWS: DRONE SHAHED IRAN... (Live),2026-03-18,10:19
"AS-ISRAEL TERPOJOK‼️ KORUT, CHINA, RUSIA GABUNG...",2026-03-18,7:15
SINGAPURA TANTANG PERANG INDONESIA!...,2026-03-17,16:15
TRUMP MINTA AMPUN! RATUSAN PANGKALAN AS HANCUR...,2026-03-17,13:15
SATU KELUARGA TERANCAM LENYAP! MILITER IRAN...,2026-03-17,10:15
GEGER! MALAYSIA-SINGAPURA KETAKUTAN!...,2026-03-17,7:15
🔴 BREAKING NEWS: DINASTI NETANYAHU... (Live),2026-03-17,4:18
GEGER! TURIS MALAYSIA SYOK LIHAT JAKARTA MEWAH...,2026-03-16,20:15
NGAKAK KOCAK❗ NETIZEN MALAYSIA KESAL... (Shorts),2026-03-16,19:00
GEGER! NETANYAHU SEBENARNYA SUDAH MATI...,2026-03-16,18:15
"NETANYAHU MUSNAH 99,9%! IRAN: BERIKUTNYA TRUMP!...",2026-03-16,16:15
🔴 BREAKING NEWS: RUDAL KHEIBAR SHEKAN... (Live),2026-03-16,14:23
SINGAPURA NYERAH! RESMI GABUNG NKRI...,2026-03-16,13:15
KEMATIAN NETANYAHU DIBONGKAR MEDIA BARAT!...,2026-03-16,10:15
SIANG MALAM ISRAEL DIGEMPUR TANPA AMPUN!...,2026-03-16,7:15
AUSTRALIA-EROPA BERSATU TAMPAR WAJAH TRUMP...,2026-03-19,7:15
SINGAPUR-MALAYSIA ZONK! RI PUTUS RANTAI MAKELAR...,2026-03-19,10:15
GEMPAR! JURNALIS INDIA BONGKAR LOKASI JASAD...,2026-03-19,13:15
VIRAL! WARGA ISRAEL RAMAI-RAMAI KABUR KE INDO...,2026-03-19,16:15
🔴 BREAKING NEWS: AMERIKA NYERAH TENTARANYA KABUR! (Live),2026-03-19,16:56
MALAYSIA MELONGO! INDONESIA EKSPOR BERAS...,2026-03-20,7:15
MERAUKE BIKIN DUNIA GEMPAR! BERAS MERAUKE...,2026-03-20,10:15
NETANYAHU TERPANGGANG! ISRAEL PANIK TOTAL...,2026-03-20,13:15
HEBOH! WARGA MALAYSIA RELA ANTRI BERJAM-JAM...,2026-03-20,16:15
TRUMP NANGIS MINTA AMPUN! RATUSAN TENTARA AS...,2026-03-20,18:15
AMERIKA DIAMBANG KEHANCURAN! (Shorts),2026-03-20,19:01
TRUMP MURKA AKAN MEMBOM NUKLIR IRAN!...,2026-03-20,20:15
BOROK TRUMP DIBONGKAR PEJABATNYA SENDIRI!...,2026-03-21,7:15
MENCEKAM! RIBUAN WARGA ISRAEL GILA MASSAL!...,2026-03-21,10:15
HEBOH! WARGA IRAN TAK MENYANGKA...,2026-03-21,13:15
RUSIA-INDONESIA MAKIN SOLID!...,2026-03-21,16:15
BIADAB! ISRAEL HUJANI GRANAT WARGA PALESTINA...,2026-03-22,7:15
IRAN BOM KAPAL INDUK AS TRUMP NGEMIS...,2026-03-22,10:15
AMERIKA HANCUR LEBUR! TRUMP KETAKUTAN...,2026-03-22,13:15
HEBOH! WNI TUNJUKKAN LOKASI PERSEMBUNYIAN...,2026-03-22,16:15
MALAYSIA PUSING! KRISIS PANGAN SAMPAI NGEMIS...,2026-03-22,19:15
"TAK MAMPU HIDUP DI NEGARANYA, WARGA SINGAPURA...",2026-03-23,7:15
SEMUA AMUNISI AS-ISRAEL HABIS! TRUMP MOHON AMPUN...,2026-03-23,10:15
"NATO-EROPA MELAWAN AS, BELA IRAN!...",2026-03-23,12:15
"DIHANTAM RUDAL 20 TON IRAN, PETINGGI ISRAEL MEWEK...",2026-03-23,16:15
IRAN ULTIMATUM ISRAEL! PILIH MATI ATAU SELAMAT?...,2026-03-23,19:15
PUTIN BIKIN AS-NATO-EROPA GEMETAR KETAKUTAN?...,2026-03-24,7:15
TRUMP GEMETAR! AKUI DRONE SHAHED IRAN...,2026-03-24,10:15
MUSTAHIL KALAH! IRAN BENTENG TERAKHIR MUSLIM...,2026-03-24,13:15
RUSIA-CHINA BANTU IRAN HANCURKAN AS!...,2026-03-24,16:15
HEBOH! GARA-GARA INDONESIA MALAYSIA BERUBAH...,2026-03-24,19:15
GEMPAR! 400 RUDAL IRAN LEDAKKAN NUKLIR ISRAEL!...,2026-03-25,7:15
BIKIN HEBOH! DPR MALAYSIA CEMAS!...,2026-03-25,10:15
GAK ADA KATA AMPUN! IRAN MULAI BERANI PAKAI NUKLIR!...,2026-03-25,13:15
HEBOH! NAMA MALAYDESH MAKIN MENDUNIA!...,2026-03-25,16:15
MALAYSIA TAK TERIMA! BAHASA INDONESIA DIRESMIKAN...,2026-03-25,19:15
MEMALUKAN! MALAYSIA DI DEMO TKI DAN BANGLADESH...,2026-03-26,7:15
GEMPAR! KIM JONG-UN PIMPIN PERANG IRAN...,2026-03-26,10:15
GEMPAR! 10 BANK AMERIKA JADI ABU DIHAJAR IRAN...,2026-03-26,13:15
AMERIKA RESMI TARIK MUNDUR PULUHAN RIBU PASUKAN...,2026-03-26,16:15
AS KEWALAHAN TRUMP NGEMIS MINTA STOP PERANG IRAN‼️...,2026-03-26,18:15
"FILIPINA COLLAPSE, MALAYSIA NANGIS‼️...",2026-03-26,20:15
HEBOH! 500 JUTA BURUNG GAGAK BANTU IRAN RATAKAN...,2026-03-27,7:30
AMERIKA TERJEPIT! MAKIN BANYAK PETINGGI AS...,2026-03-27,10:15
MALAYSIA DITELAN BANGLADESH! KRISIS IDENTITAS...,2026-03-27,13:15
AMERIKA NGEMIS MINTA DAMAI KE IRAN‼️...,2026-03-27,16:15
NIAT HATI PROMOSI BAHASA MELAYU...,2026-03-27,18:15
MALAYSIA MEMANAS‼️ SIAPA PEMILIK ASLI⁉️...,2026-03-27,20:15
MEMALUKAN! MALAYSIA DI DEMO... (Shorts),2026-03-27,20:53
PAKISTAN-KORUT-TURKI BANTU IRAN! ISRAEL-AS...,2026-03-28,7:30
AS KEWALAHAN! MEDIA MENGULITI TRUMP...,2026-03-28,10:15
AS NANGIS! PULUHAN JET TEMPUR & HELIKOPTER...,2026-03-28,13:15
JIRAN MELONGO‼️ ITALIA PILIH INDONESIA...,2026-03-28,16:15
HAYOO MAU KABUR KEMANA LAGI‼️ GAK ADA TEMPAT...,2026-03-28,18:15
GEMPAR‼️ AMERIKA KEHABISAN RUDAL...,2026-03-29,7:15
PARAH! RAKYAT MALAYSIA BERTERIAK!...,2026-03-29,11:30
PASUKAN AS KALAH TELAK! KAPAL TEMPUR...,2026-03-29,13:15
NGERI! RATUSAN MAYAT BERSERAKAN DI ISRAEL...,2026-03-29,16:15
AS KEWALAHAN TRUMP NGEMIS MINTA STOP... (Shorts),2026-03-29,17:00
TRUMP KENA PRANK! PRABOWO BERHASIL AMANKAN...,2026-03-29,18:15
DETIK-DETIK RUNTUHNYA DOLLAR AS!...,2026-03-29,20:15
SATU JUTA PASUKAN IRAN TURUN PERANG‼️...,2026-03-30,7:15
50 RIBU PASUKAN AS LENYAP! AS PANIK...,2026-03-30,13:15
9 JUTA RAKYAT AS NGAMUK‼️ DEMO GULINGKAN...,2026-03-30,16:15
HEBOH‼️ WARGA SINGAPURA-MALAYSIA HERAN...,2026-03-30,18:30
TRUMP TERANCAM BAHAYA‼️ RIBUAN TENTARA AS...,2026-03-30,20:15
JUTAAN WARGA AS NGAMUK MEMBURU TRUMP‼️...,2026-03-31,7:15
PRABOWO MURKA BESAR‼️ ISRAEL SERANG PASUKAN...,2026-03-31,10:15
WARGA ISRAEL RASAKAN SIMULASI HIDUP DI NERAKA‼️...,2026-03-31,13:15
DUNIA PANIK‼️ HARGA BBM NAIK GILA-GILAAN...,2026-03-31,16:15
CHINA-RUSIA BANTU INDONESIA PERANG...,2026-03-31,19:15
MALAYSIA NYINYIR! BATAM JADI PRIMADONA...,2026-02-01,7:15
"PARLEMEN MEMANAS, SABAH & SARAWAK ANCAM LEPAS...",2026-02-01,10:15
TURIS MALAYSIA GEMETAR LIHAT JAKARTA DIKIRA DUBAI...,2026-02-01,13:15
NGEMIS INGIN GABUNG INDONESIA! INILAH PERBANDINGAN...,2026-02-01,16:15
MALAYSIA KLAIM JADI PENYELAMAT WHOOSH... (Shorts),2026-02-01,17:00
KAPAL-KAPAL MALAYSIA DITENGGELAMKAN DI AMBALAT!...,2026-02-01,18:15
PUTIN BEKINGI PRABOWO BANGUN KAPAL INDUK...,2026-02-01,20:15
BARU DIPAMERKAN AUTO KEPINCUT! ARAB SAUDI BORONG...,2026-02-02,7:15
TIMOR LESTE & AUSTRALIA TINGGALKAN BAHASA MELAYU...,2026-02-02,13:15
INDONESIA-RUSIA BANGUN ALIANSI MILITER & NUKLIR!...,2026-02-02,16:15
PUTIN BEKINGI PRABOWO BANGUN KAPAL INDUK... (Shorts),2026-02-02,17:15
BAK BUMI DAN LANGIT! KEKUATAN MILITER RI...,2026-02-02,18:15
SAAT WARGA ASING LAIN DIUSIR & DIDEMO...,2026-02-02,20:15
RUDAL KHAN TNI BIDIK SABAH & TAWAU‼️...,2026-02-03,8:15
KURANG AJAR‼️ TIMOR LESTE DUKUNG REFERENDUM...,2026-02-03,11:15
SINGAPURA MARAH BESAR! KAPAL VIETNAM TOLAK...,2026-02-03,13:15
MALAYSIA PUSING! WARGA PERBATASAN INGINKAN...,2026-02-03,16:15
SAAT WARGA ASING LAIN DIUSIR & DIDEMO... (Shorts),2026-02-03,17:30
KURANG AJAR‼️ MALAYSIA DESAK INDONESIA TAMPUNG...,2026-02-03,18:15
BIKIN HEBOH‼️ THAILAND TAK TAHAN LAGI MILIKI BUS RI...,2026-02-03,20:15
MALAYSIA BUBAR? RAKYAT SABAH-SARAWAK MUAK...,2026-02-04,7:15
"ESTONIA GABUNG INDONESIA, SINDIKAT GELAP...",2026-02-04,10:15
MALAYSIA NGEMIS INDONESIA MINTA TAMPUNG...,2026-02-04,13:15
GEGERKAN ASEAN‼️ INDONESIA RESMI JADI RAJA BATERAI...,2026-02-04,16:30
BIKIN HEBOH‼️ THAILAND TAK TAHAN LAGI... (Shorts),2026-02-04,17:01
GEMPAR! TENTARA MALAYSIA PAMER F-35...,2026-02-04,18:15
NEGARA PALING TAK TAU DIRI! MINTA MERDEKA...,2026-02-04,20:15
