Judul;Tanggal;Jam Upload (WIB);;;;;;;;;;;;;;;;;;;;;;;
RI TERIMA JET TEMPUR RAFALE PRANCIS, SINDIRAN...;2025-12-04;07.30;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO KIRIM ULTIMATUM MILITER, PAPUA NUGINI...;2025-12-04;09.30;;;;;;;;;;;;;;;;;;;;;;;
KORP MARINIR BELANDA PUJI TNI PAMER ROKET...;2025-12-04;13.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA HEBOH BANDINGKAN BANJIR BESAR PAHANG...;2025-12-04;16.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KETAKUTAN, TNI DITERJUNKAN... (Shorts);2025-12-04;17.00;;;;;;;;;;;;;;;;;;;;;;;
DOLLAR AUTO NYUNGSEP, RI SETOR RP16,6 T...;2025-12-04;19.00;;;;;;;;;;;;;;;;;;;;;;;
INDONESIA & AFRIKA RESMI BANGUN HUB EKONOMI...;2025-12-04;20.30;;;;;;;;;;;;;;;;;;;;;;;
QRIS INDONESIA PECAHKAN REKOR TERTINGGI...;2025-12-05;07.30;;;;;;;;;;;;;;;;;;;;;;;
3 WILAYAH INI INGIN MERDEKA DARI INDONESIA...;2025-12-05;09.30;;;;;;;;;;;;;;;;;;;;;;;
YUNANI & INDIA TAKJUB LIHAT KEKUATAN BESAR...;2025-12-05;13.15;;;;;;;;;;;;;;;;;;;;;;;
DOLLAR AUTO NYUNGSEP, RI SETOR RP16,6 T... (Shorts);2025-12-05;17.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA-SINGAPURA KETAR-KETIR LIHAT PRAJURIT...;2025-12-05;18.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TAK KUASA KAPAL PERANG & B737...;2025-12-05;21.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA HEBOH BANDINGKAN PENANGANAN BENCANA...;2025-12-06;07.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KAGET, INILAH DAFTAR NEGARA...;2025-12-06;09.30;;;;;;;;;;;;;;;;;;;;;;;
RI–AUSTRALIA–PNG BERSATU BENTUK POROS...;2025-12-06;14.00;;;;;;;;;;;;;;;;;;;;;;;
PAPUA NUGINI KETAKUTAN MINTA DIBENTUK ZONA...;2025-12-06;16.45;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TAK KUASA KAPAL PERANG... (Shorts);2025-12-06;17.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA HEBOH INDONESIA RESMI EKSPOR BERAS...;2025-12-06;18.30;;;;;;;;;;;;;;;;;;;;;;;
MASUK TV JEPANG‼ TNI GERAM BANTUAN RI...;2025-12-06;21.00;;;;;;;;;;;;;;;;;;;;;;;
INDONESIA PIMPIN BLOK 8 NEGARA MUSLIM...;2025-12-07;07.30;;;;;;;;;;;;;;;;;;;;;;;
KEBIJAKAN PRABOWO BIKIN MALAYSIA KEHILANGAN...;2025-12-07;10.00;;;;;;;;;;;;;;;;;;;;;;;
INDONESIA DIAM-DIAM TANCAPKAN PENGARUH BESAR...;2025-12-07;12.30;;;;;;;;;;;;;;;;;;;;;;;
FREGAT MERAH PUTIH JADI MONSTER ASEAN...;2025-12-07;16.30;;;;;;;;;;;;;;;;;;;;;;;
MASUK TV JEPANG‼ TNI GERAM BANTUAN... (Shorts);2025-12-07;17.00;;;;;;;;;;;;;;;;;;;;;;;
CHINA BANGUN PANGKALAN MILITER DEKAT LAUT RI...;2025-12-07;18.30;;;;;;;;;;;;;;;;;;;;;;;
VIDEO RAHASIA PRABOWO & MENHAN SJAFRIE BOCOR!...;2025-12-07;20.30;;;;;;;;;;;;;;;;;;;;;;;
RI BALAS DENDAM‼ DARI BUDAK ENERGI JADI BOS...;2025-12-08;07.30;;;;;;;;;;;;;;;;;;;;;;;
KOPASSUS GEMBLENG TENTARA BRUNEI SAMPAI PINGSAN...;2025-12-08;13.00;;;;;;;;;;;;;;;;;;;;;;;
SINGAPURA DIAMBANG KEBANGKRUTAN, PM WONG...;2025-12-08;15.30;;;;;;;;;;;;;;;;;;;;;;;
VIDEO RAHASIA PRABOWO & MENHAN... (Shorts);2025-12-08;17.00;;;;;;;;;;;;;;;;;;;;;;;
WADUH‼ TIBA TIBA INDONESIA GERTAK MEKSIKO...;2025-12-08;19.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERHARU‼ AKSI HEROIK TNI SELAMATKAN...;2025-12-08;20.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA PANIK! MEDIA ASING BONGKAR PROYEK...;2025-12-09;07.30;;;;;;;;;;;;;;;;;;;;;;;
NEGARA PENDUKUNG OPM PANIK, TNI GAGALKAN...;2025-12-09;09.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA HEBOH! INDONESIA RAKIT SENJATA...;2025-12-09;12.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KAGET BUKAN MAIN! PRABOWO DIKAWAL...;2025-12-09;16.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERHARU‼ AKSI HEROIK TNI... (Shorts);2025-12-09;17.01;;;;;;;;;;;;;;;;;;;;;;;
PM TIMOR LESTE TERDIAM KAGUM TEMUI SULTAN HB X...;2025-12-09;18.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA PANIK! INDONESIA-RUSIA PERKUAT...;2025-12-09;20.15;;;;;;;;;;;;;;;;;;;;;;;
TETANGGA KAYA INI AKHIRNYA DIBUAT NGEMIS...;2025-12-10;10.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA MAKIN IRI! QRIS INDONESIA TEMBUS...;2025-12-10;13.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA PANIK! INDONESIA-RUSIA... (Shorts);2025-12-10;17.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA HERAN! JARANG TERJADI, 6 JET TEMPUR...;2025-12-10;17.15;;;;;;;;;;;;;;;;;;;;;;;
DIHINA NEGARA IQ RENDAH, INDONESIA TAMPAR...;2025-12-10;18.30;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO DISAMBUT LUAR BIASA DI PAKISTAN...;2025-12-10;20.15;;;;;;;;;;;;;;;;;;;;;;;
USAI DIKAWAL 6 JET PAKISTAN, PRABOWO TEMUI...;2025-12-11;07.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KLAIM BATIK DI DEPAN KONTINGEN...;2025-12-11;10.15;;;;;;;;;;;;;;;;;;;;;;;
BATAM JADI MEDAN PERANG, KEKUATAN MARITIM RI...;2025-12-11;13.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA PANIK! PUTIN SAMBUT PRABOWO...;2025-12-11;16.15;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO DISAMBUT LUAR BIASA... (Shorts);2025-12-11;17.00;;;;;;;;;;;;;;;;;;;;;;;
SERING HINA INDONESIA, KINI SINGAPURA BUNGKAM...;2025-12-11;18.30;;;;;;;;;;;;;;;;;;;;;;;
DPR MALAYSIA NGOTOT CAPLOK AMBALAT...;2025-12-11;20.15;;;;;;;;;;;;;;;;;;;;;;;
KOCAK! KLAIM DAMAIKAN KAMBOJA-THAILAND...;2025-12-12;07.15;;;;;;;;;;;;;;;;;;;;;;;
TAK PERCAYA! MENTERI MALAYSIA TERPUKAU KUNJUNGI...;2025-12-12;13.15;;;;;;;;;;;;;;;;;;;;;;;
INDONESIA BERSIAP PERANG! MALAYSIA MENGHASUT...;2025-12-12;16.15;;;;;;;;;;;;;;;;;;;;;;;
DPR MALAYSIA NGOTOT CAPLOK... (Shorts);2025-12-12;17.00;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! VIRUS BERBAHAYA MENYERANG MALAYSIA...;2025-12-12;18.15;;;;;;;;;;;;;;;;;;;;;;;
KARMA HINA INDONESIA, JUTAAN RAKYAT MALAYSIA...;2025-12-13;08.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA MARAH BESAR AMBALAT DIAMBIL ALIH...;2025-12-13;11.00;;;;;;;;;;;;;;;;;;;;;;;
SEPAKAT! RUSIA BANGUN NUKLIR DI KALTIM...;2025-12-13;13.15;;;;;;;;;;;;;;;;;;;;;;;
DPR MALAYSIA BELAJAR KE KDM SEBUT BETAH...;2025-12-13;17.30;;;;;;;;;;;;;;;;;;;;;;;
SEKUTU JIRAN LEPAS TANGAN TAK AKAN BANTU...;2025-12-13;19.00;;;;;;;;;;;;;;;;;;;;;;;
TAK GENTAR! TNI AL HALAU CHINA DAN MALAYSIA...;2025-12-13;20.30;;;;;;;;;;;;;;;;;;;;;;;
INDONESIA WASPADA PENGIBARAN BENDERA MALAYSIA...;2025-12-14;07.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TAK SIAP PERANG GARA-GARA AMBALAT...;2025-12-14;13.15;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO MURKA‼ MALAYSIA & GAM DINILAI SUDAH...;2025-12-14;16.15;;;;;;;;;;;;;;;;;;;;;;;
TAK GENTAR! TNI AL HALAU CHINA... (Shorts);2025-12-14;17.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KETAKUTAN DIMUSUHI SATU ASEAN!...;2025-12-14;18.30;;;;;;;;;;;;;;;;;;;;;;;
TIMUR TENGAH MENANGIS HARU‼ GAZA & IRAN...;2025-12-14;21.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA GAGAL TOTAL! PRABOWO TURUN TANGAN...;2025-12-15;08.00;;;;;;;;;;;;;;;;;;;;;;;
TNI LEBIH DIPERCAYA DARI PASUKAN PBB SAAT...;2025-12-15;10.15;;;;;;;;;;;;;;;;;;;;;;;
PERKUAT AMBALAT, TNI PAMER KEKUATAN MILITER...;2025-12-15;13.15;;;;;;;;;;;;;;;;;;;;;;;
DPR MALAYSIA HEBOH! KLAIM RELAWANNYA JADI...;2025-12-15;17.00;;;;;;;;;;;;;;;;;;;;;;;
TIMUR TENGAH MENANGIS HARU‼... (Shorts);2025-12-15;17.00;;;;;;;;;;;;;;;;;;;;;;;
HEBOH! QRIS INDONESIA TEMBUS ARAB SAUDI...;2025-12-15;18.15;;;;;;;;;;;;;;;;;;;;;;;
REMEHKAN DAN HINA TKI MALAYSIA DIBANJIRI...;2025-12-15;21.00;;;;;;;;;;;;;;;;;;;;;;;
JIKA MALAYSIA NEKAT AJAK PERANG, BEGINILAH...;2025-12-16;07.30;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO KIRIM RIBUAN TNI KE PAPUA, SINYAL...;2025-12-16;10.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA MINTA BANTUAN INDONESIA AKUI...;2025-12-16;13.15;;;;;;;;;;;;;;;;;;;;;;;
REMEHKAN DAN HINA TKI... (Shorts);2025-12-16;17.00;;;;;;;;;;;;;;;;;;;;;;;
RUGIKAN NEGARA RP300 TRILIUN‼ TNI TEMBAK...;2025-12-16;17.15;;;;;;;;;;;;;;;;;;;;;;;
JET TEMPUR T-50i GOLDEN EAGLE TNI AU TEMBUS...;2025-12-16;19.15;;;;;;;;;;;;;;;;;;;;;;;
NGELUNJAK AJAK PERANG! VIRAL WNA CHINA...;2025-12-17;07.15;;;;;;;;;;;;;;;;;;;;;;;
VIRAL! CEWEK KAMBOJA SEDIH MINTA BANTUAN...;2025-12-17;10.45;;;;;;;;;;;;;;;;;;;;;;;
SIAGA PERANG‼️ MALAYSIA PANIK, SELURUH...;2025-12-17;13.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA PANIK! RUSIA TAK SEGAN HANTAM...;2025-12-17;17.15;;;;;;;;;;;;;;;;;;;;;;;
DPR MALAYSIA IRI! PRABOWO SELALU DISAMBUT...;2025-12-17;19.00;;;;;;;;;;;;;;;;;;;;;;;
DITOLAK THAILAND! MALAYSIA PANIK MINTA...;2025-12-18;07.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KETAR-KETIR, AS–AUSTRALIA–INDIA...;2025-12-18;13.00;;;;;;;;;;;;;;;;;;;;;;;
SIAP ATAU HANCUR! JIKA PERANG BESAR... (Shorts);2025-12-18;17.01;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA-AUSTRALIA KECEWA! PRABOWO TOLAK...;2025-12-19;07.30;;;;;;;;;;;;;;;;;;;;;;;
RI TOLAK 500 TON BANTUAN MALAYSIA!...;2025-12-19;10.15;;;;;;;;;;;;;;;;;;;;;;;
MEDIA ASING AKUI MALAYSIA TANPA INDONESIA...;2025-12-19;13.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA DEG-DEGAN! KRI BALAPUTRADEWA-322...;2025-12-19;16.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA HERAN DARI MANA DUIT INDONESIA...;2025-12-19;18.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA GELISAH! INDUSTRI DRONE INDONESIA...;2025-12-19;20.15;;;;;;;;;;;;;;;;;;;;;;;
KAPOK! POLITISI MALAYSIA SOK PALING...;2025-12-20;07.15;;;;;;;;;;;;;;;;;;;;;;;
DPR MALAYSIA NGAMUK! SEBUT INDONESIA...;2025-12-20;10.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA MELONGO! CHINA BERANI TEKAN...;2025-12-20;13.15;;;;;;;;;;;;;;;;;;;;;;;
JIRAN TERDIAM! TNI KEPUNG MALAYSIA?...;2025-12-20;16.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA GELISAH! INDUSTRI DRONE... (Shorts);2025-12-20;17.01;;;;;;;;;;;;;;;;;;;;;;;
KOPASSUS GEMBLENG TENTARA KAMBOJA...;2025-12-20;18.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA GAGAL TOTAL! KETUA ASEAN...;2025-12-20;20.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA DI AMBANG KIAMAT! SABAH & SARAWAK...;2025-12-21;07.15;;;;;;;;;;;;;;;;;;;;;;;
JIRAN KEGEERAN! MALAYSIA MAKSA BANGUN...;2025-12-21;11.00;;;;;;;;;;;;;;;;;;;;;;;
SINGAPURA & MALAYSIA KIAMAT! JALUR BARU...;2025-12-21;13.15;;;;;;;;;;;;;;;;;;;;;;;
KACANG LUPA KULIT! DIBANTU TRILIUNAN...;2025-12-21;18.15;;;;;;;;;;;;;;;;;;;;;;;
KAPOK! POLITISI MALAYSIA SOK... (Shorts);2025-12-21;19.00;;;;;;;;;;;;;;;;;;;;;;;
50 RIBU PERSONEL TNI-POLRI KEPUNG SUMATERA...;2025-12-21;20.15;;;;;;;;;;;;;;;;;;;;;;;
FITNAH KEJI! OKNUM JIRAN PELINTIR PIDATO...;2025-12-22;07.45;;;;;;;;;;;;;;;;;;;;;;;
THAILAND NGAMUK! WARGA MALAYSIA DIUSIR...;2025-12-22;10.15;;;;;;;;;;;;;;;;;;;;;;;
JIRAN KENA MENTAL! SUKA IKUT CAMPUR...;2025-12-22;13.15;;;;;;;;;;;;;;;;;;;;;;;
INDONESIA TURUN KE MEDAN TEMPUR! MALAYSIA...;2025-12-22;16.15;;;;;;;;;;;;;;;;;;;;;;;
JIRAN KEGEERAN! MALAYSIA MAKSA... (Shorts);2025-12-22;17.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KENA MENTAL! TNI SIAGA PENUH...;2025-12-22;18.30;;;;;;;;;;;;;;;;;;;;;;;
INDONESIA-SPANYOL-JERMAN BERSATU TEMBUS...;2025-12-22;20.30;;;;;;;;;;;;;;;;;;;;;;;
IRONIS! SOK HASUT ACEH, PADALAH SABAH...;2025-12-23;07.15;;;;;;;;;;;;;;;;;;;;;;;
KURANG AJAR! MEDIA MALAYSIA FITNAH...;2025-12-23;10.15;;;;;;;;;;;;;;;;;;;;;;;
DARURAT MILITER ACEH! PRABOWO SERUKAN...;2025-12-23;13.15;;;;;;;;;;;;;;;;;;;;;;;
INDONESIA-SPANYOL-JERMAN BERSATU... (Shorts);2025-12-23;17.01;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERANCAM KELAPARAN! ANWAR IBRAHIM...;2025-12-23;17.30;;;;;;;;;;;;;;;;;;;;;;;
THAILAND NGAMUK! WARGA MALAYSIA DIUSIR...;2025-12-23;18.30;;;;;;;;;;;;;;;;;;;;;;;
"MALAYSIA KENA CERAMAH"" WARGANYA SENDIRI...""";2025-12-23;20.15;;;;;;;;;;;;;;;;;;;;;;;
RI TURUN KE ZONA PERANG, JIRAN TERDIAM...;2025-12-24;07.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA PANIK! MEDIA JIRAN SOROT RUDAL...;2025-12-24;10.15;;;;;;;;;;;;;;;;;;;;;;;
PM MALAYSIA DIPERMALUKAN! RI SIAP RAUP...;2025-12-24;13.30;;;;;;;;;;;;;;;;;;;;;;;
PILIH MALAYSIA ATAU INDONESIA!? JAWABAN...;2025-12-24;16.15;;;;;;;;;;;;;;;;;;;;;;;
"MALAYSIA KENA CERAMAH"" WARGANYA... (Shorts)""";2025-12-24;17.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA PROVOKATOR! MELAYU SUMATERA...;2025-12-24;19.15;;;;;;;;;;;;;;;;;;;;;;;
BANGGAKAN BANTUAN JIRAN! OKNUM ACEH...;2025-12-24;20.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA HASUT MELAYU SUMATERA & ACEH...;2025-12-25;07.15;;;;;;;;;;;;;;;;;;;;;;;
LUCU! SITUS GUNUNG PADANG DIKLAIM...;2025-12-25;11.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA DI AMBANG RUNTUH? 5 WILAYAH...;2025-12-25;14.00;;;;;;;;;;;;;;;;;;;;;;;
BANGGAKAN BANTUAN JIRAN! OKNUM ACEH... (Shorts);2025-12-25;17.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA & INGGRIS SAMA SAJA!? HARGA...;2025-12-25;19.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERKEJUT! MANUVER SENYAP...;2025-12-25;20.30;;;;;;;;;;;;;;;;;;;;;;;
MEDIA MALAYSIA KENA TAMPAR! RI TAK BUTUH...;2025-12-26;07.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA DI AMBANG BUBAR? NEGERI-NEGERI...;2025-12-26;10.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERDIAM! INDONESIA LEBIH...;2025-12-26;13.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KENA AMUK! INDONESIA TUNJUKKAN...;2025-12-26;16.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERKEJUT! MANUVER SENYAP... (Shorts);2025-12-26;17.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERKEJUT! PRABOWO BANGKITKAN...;2025-12-27;07.15;;;;;;;;;;;;;;;;;;;;;;;
SULTAN ACEH NGAMUK! MALAYSIA HASUT...;2025-12-27;10.15;;;;;;;;;;;;;;;;;;;;;;;
MODUS BANTUAN MALAYSIA DISISIPI AGENDA...;2025-12-27;13.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA DI AMBANG BUBAR! SABAH, SARAWAK...;2025-12-27;16.15;;;;;;;;;;;;;;;;;;;;;;;
GEGER! PRABOWO ENDUS INTERVENSI... (Shorts);2025-12-27;17.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERDIAM! SOK DEKAT DENGAN AS...;2025-12-27;18.15;;;;;;;;;;;;;;;;;;;;;;;
GEGER! PRABOWO ENDUS INTERVENSI ASING...;2025-12-27;20.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERDIAM! QRIS INDONESIA RESMI...;2025-12-28;07.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KETAR-KETIR! INDONESIA DOBRAK...;2025-12-28;10.15;;;;;;;;;;;;;;;;;;;;;;;
MAHATHIR NGAMUK! SEBUT MALAYSIA DIJAJAH...;2025-12-28;13.15;;;;;;;;;;;;;;;;;;;;;;;
JENDERAL GAM ANCAM PRABOWO? TNI-POLRI...;2025-12-28;16.15;;;;;;;;;;;;;;;;;;;;;;;
IRAN GANDENG PRABOWO SIAPKAN RUDAL...;2025-12-28;18.30;;;;;;;;;;;;;;;;;;;;;;;
BATAM MELEJIT RESMI GESER DOMINASI...;2025-12-28;20.15;;;;;;;;;;;;;;;;;;;;;;;
JEPANG DIBIKIN PANIK! MENHAN SJAFRIE...;2025-12-29;07.15;;;;;;;;;;;;;;;;;;;;;;;
USTADZ MALAYSIA SERUKAN ACEH PISAH...;2025-12-29;10.15;;;;;;;;;;;;;;;;;;;;;;;
JANGAN TERGODA PROVOKASI! NASIB TIMOR...;2025-12-29;13.15;;;;;;;;;;;;;;;;;;;;;;;
SABAH DAN SARAWAK BOSAN MISKIN!...;2025-12-29;16.15;;;;;;;;;;;;;;;;;;;;;;;
BATAM MELEJIT RESMI GESER... (Shorts);2025-12-29;17.01;;;;;;;;;;;;;;;;;;;;;;;
KEKUATAN TEMPUR INDONESIA NO 1 DI ASEAN...;2025-12-29;19.30;;;;;;;;;;;;;;;;;;;;;;;
MELAYU SUMATERA & KALIMANTAN BERSATU!...;2025-12-30;08.15;;;;;;;;;;;;;;;;;;;;;;;
ACEH MENGHINA SUKU JAWA! SULTAN ACEH...;2025-12-30;11.15;;;;;;;;;;;;;;;;;;;;;;;
TAKTIK GERTAK SAMBAL MALAYSIA GAGAL!...;2025-12-30;13.15;;;;;;;;;;;;;;;;;;;;;;;
PUTIN KERAHKAN PEMBOM NUKLIR KE SELATAN...;2025-12-30;16.15;;;;;;;;;;;;;;;;;;;;;;;
SINGAPURA KETAR-KETIR! INILAH TEROBOSAN...;2025-12-30;19.15;;;;;;;;;;;;;;;;;;;;;;;
GILA TAK ADA TOKO MALAYSIA WARGA...;2025-12-30;20.45;;;;;;;;;;;;;;;;;;;;;;;
BI4D4B! KELOMPOK ASNLF DEMO DI GEDUNG...;2025-12-31;07.30;;;;;;;;;;;;;;;;;;;;;;;
KEJAM! BANTUAN BANJIR ACEH DARI RAKYAT...;2025-12-31;10.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA DIKUCILKAN! THAILAND DAN...;2025-12-31;13.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KENA MENTAL! WARGA PERBATASAN...;2025-12-31;16.15;;;;;;;;;;;;;;;;;;;;;;;
GILA TAK ADA TOKO MALAYSIA... (Shorts);2025-12-31;17.00;;;;;;;;;;;;;;;;;;;;;;;
JANGAN MAIN API! KAPAL PERANG TNI AL...;2025-12-31;18.30;;;;;;;;;;;;;;;;;;;;;;;
WASPADA! MEDIA MALAYSIA BONGKAR KECANGGIHAN KRI...;2026-01-01;10.30;;;;;;;;;;;;;;;;;;;;;;;
MANTAN SNIPER MALAYSIA AKUI: TAK TAKUT PERANG...;2026-01-01;14.15;;;;;;;;;;;;;;;;;;;;;;;
TIMOR LESTE MENANGIS LIHAT PAPUA! DULU PILIH...;2026-01-01;16.15;;;;;;;;;;;;;;;;;;;;;;;
DPR MALAYSIA TAKUT ANCAMAN PERANG INDONESIA...;2026-01-02;07.15;;;;;;;;;;;;;;;;;;;;;;;
NGAKAK! AKSI-AKSI TENTARA MALAYSIA BUAT KETAWA...;2026-01-02;13.15;;;;;;;;;;;;;;;;;;;;;;;
MAU AJAK PERANG? ATUK MALAYSIA HALU...;2026-01-02;16.15;;;;;;;;;;;;;;;;;;;;;;;
DIPUJA RAKYAT KAMBOJA! INDONESIA JADI...;2026-01-02;19.15;;;;;;;;;;;;;;;;;;;;;;;
PANTAS NGOTOT INGIN MERDEKA? LIHAT PERBANDINGAN...;2026-01-03;07.30;;;;;;;;;;;;;;;;;;;;;;;
TERBONGKAR! PERJANJIAN TERBURUK MALAYSIA...;2026-01-03;10.15;;;;;;;;;;;;;;;;;;;;;;;
CHINA OBOK-OBOK LAUT MALAYSIA DI TAHUN BARU...;2026-01-03;16.30;;;;;;;;;;;;;;;;;;;;;;;
TIMOR LESTE MENANGIS... (Shorts);2026-01-03;17.00;;;;;;;;;;;;;;;;;;;;;;;
DPR MALAYSIA PANIK! AKUI KAPAL SELAM RI...;2026-01-03;19.15;;;;;;;;;;;;;;;;;;;;;;;
MONSTER LAUT BARU! KRI BALAPUTRA DEWA...;2026-01-03;20.15;;;;;;;;;;;;;;;;;;;;;;;
TNI KEPUNG AMBALAT, DPR MALAYSIA MASIH NEKAT...;2026-01-04;07.15;;;;;;;;;;;;;;;;;;;;;;;
RAKYAT ACEH ASLI BUNGKAM & PERMALUKAN MALAYSIA...;2026-01-04;10.15;;;;;;;;;;;;;;;;;;;;;;;
AKIBAT REMEHIN PETANI! PASOKAN KELAPA MALAYSIA...;2026-01-04;13.15;;;;;;;;;;;;;;;;;;;;;;;
NGACA DULU! MEDIA MALAYSIA SEBUT PRABOWO ZIONIS...;2026-01-04;16.15;;;;;;;;;;;;;;;;;;;;;;;
MONSTER LAUT BARU... (Shorts);2026-01-04;17.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA SYOK BERAT! INDONESIA NEKAT BANTU IRAN...;2026-01-04;19.15;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO NGAMUK! INDONESIA SKAKMAT 9 NEGARA...;2026-01-05;07.15;;;;;;;;;;;;;;;;;;;;;;;
